idnax;fecha imagen;ID;CAMPO;FINCA;ZONA;MANDADOR;ZAFRA 20-21;variedad;soca;edad;zona eco;zonas;fs;tipo riego;area;activo;nubosidad;leyenda 08 NDVI 2 (con nubes);valor 08 NDVI 2 (con nubes);leyenda 09 Nivel de NDVI óptimo;valor 09 Nivel de NDVI óptimo;leyenda 10 Anomalías;valor 10 Anomalías;leyenda 11 Necesidades de Nitrógeno;valor 11 Necesidades de Nitrógeno;leyenda 12 Producción;valor 12 Producción;leyenda 13 Maduración;valor 13 Maduración;leyenda 14 Maduración 2 (con nubes);valor 14 Maduración 2 (con nubes);leyenda 15 Cosecha;valor 15 Cosecha;leyenda Biomasa (m2 caña/m2);valor Biomasa (m2 caña/m2);leyenda Biomasa 2 (con nubes);valor Biomasa 2 (con nubes);leyenda Clorofila (mg/cm2);valor Clorofila (mg/cm2);leyenda Contenido de agua (mg/cm2);valor Contenido de agua (mg/cm2);leyenda Contenido de agua 2 (con nubes);valor Contenido de agua 2 (con nubes);leyenda Evolución hídrica;valor Evolución hídrica;leyenda NDVI;valor NDVI;leyenda Nivel de agua óptimo;valor Nivel de agua óptimo;leyenda Nivel de biomasa óptimo;valor Nivel de biomasa óptimo;leyenda Nivel de clorofila óptimo;valor Nivel de clorofila óptimo;leyenda msavi2;valor msavi2;leyenda ndwi;valor ndwi
235503;2022-05-28;160101;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;3.0232;True;0.1023;0.2-0.3;0.2679;+30% del optimo;4.8309;Sin incidencia;-0.0331;Normal;1.0;ALTA;0.9609;0.2;0.1467;0.2;0.1467;Ya cosechado;0.0;0.6;0.491;0.6;0.491;10-15;13.3285;0.01;0.0088;0.01;0.0088;15 dias perdiendo agua;-3.0;0.2-0.3;0.2629;+30% del optimo;5.0;-20% del optimo;1.0147;+30% del optimo;5.0;0-0.2;-0.3943;0-0.4;0.3528
235504;2022-05-28;160102;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;1.7657;True;0.1136;0.3-0.4;0.3308;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;ALTA;0.9633;0.2;0.1696;0.2;0.1696;Cosechar;0.9487;0.6;0.5718;0.6;0.5718;15-20;17.4674;0.0125;0.0104;0.0125;0.0104;5 dias perdiendo agua;-1.1026;0.3-0.4;0.3256;+30% del optimo;5.0;-30% del optimo;1.0;+30% del optimo;5.0;0-0.2;-0.3635;0-0.4;0.3796
235505;2022-05-28;160103;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;1.6142;True;0.0687;0.3-0.4;0.3306;+30% del optimo;4.9866;Sin incidencia;0.0;Normal;1.0;ALTA;0.9595;0.2;0.1731;0.2;0.1731;Cosechar;1.0;0.6;0.5648;0.6;0.5648;15-20;17.086;0.0125;0.0103;0.0125;0.0103;Ganando o manteniendo agua;-0.9866;0.3-0.4;0.3261;+30% del optimo;5.0;-20% del optimo;1.0604;+30% del optimo;5.0;0-0.2;-0.3617;0-0.4;0.3786
235506;2022-05-28;160104;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;1.3867;True;0.0791;0.3-0.4;0.3371;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;ALTA;0.9549;0.2;0.1746;0.2;0.1746;Cosechar;1.0;0.6;0.5585;0.6;0.5585;15-20;16.8835;0.01;0.0098;0.01;0.0098;5 dias perdiendo agua;-1.0;0.3-0.4;0.3316;+30% del optimo;5.0;-30% del optimo;1.0;+30% del optimo;5.0;0-0.2;-0.3597;0-0.4;0.3825
235507;2022-05-28;160105;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;1.7714;True;0.1341;0.4-0.5;0.412;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;ALTA;0.9942;0.3;0.2525;0.3;0.2525;Cosechar;1.0;1;0.8281;1;0.8281;25-30;29.3918;0.0175;0.0153;0.0175;0.0153;10 dias perdiendo agua;-2.8452;0.4-0.5;0.4067;+30% del optimo;5.0;-20% del optimo;1.1677;+30% del optimo;5.0;0-0.2;-0.3211;0.4-0.45;0.4309
235508;2022-05-28;160201;1602-0;SUCUYA;PBA;;;OTRAS;10.0;3.0;;PBA;2023-03-26;3.0;3.4389;True;0.0988;0.4-0.5;0.4187;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;NORMAL;0.8181;0.3;0.2836;0.3;0.2836;Cosechar;1.0;1;0.8833;1;0.8833;30-35;31.0881;0.0175;0.0167;0.0175;0.0167;Ganando o manteniendo agua;0.0;0.4-0.5;0.4136;+30% del optimo;5.0;+30% del optimo;5.0;+30% del optimo;5.0;0-0.2;-0.3243;0.4-0.45;0.4317
235509;2022-05-28;160202;1602-0;SUCUYA;PBA;;;OTRAS;10.0;3.0;;PBA;2023-03-26;3.0;1.8762;True;0.1005;0.5-0.6;0.5237;+30% del optimo;4.9706;Sin incidencia;0.0;Normal;0.9969;NORMAL;0.7648;0.4;0.3582;0.4;0.3582;Cosechar;0.9765;1.2;1.1709;1.2;1.1709;40-50;45.0931;0.025;0.0223;0.025;0.0223;Ganando o manteniendo agua;0.0;0.5-0.6;0.5187;+30% del optimo;4.9588;+30% del optimo;4.9706;+30% del optimo;4.9588;0-0.2;-0.2545;0.45-0.5;0.4814
235510;2022-05-28;160301;1603-0;SUCUYA;PBA;;;CP731547;2.0;5.0;;PBA;2023-01-20;3.0;1.0024;True;0.0667;0.7-0.8;0.7361;+30% del optimo;4.051;Sin incidencia;0.0;Normal;0.9449;BAJA;0.6321;;;;;Ya cosechado;0.0;2.8;2.6223;2.8;2.6223;100-150;149.282;0.06;0.0545;0.06;0.0545;Ganando o manteniendo agua;0.0;0.7-0.8;0.731;+30% del optimo;4.3469;+30% del optimo;4.7041;+30% del optimo;4.2857;0-0.2;0.0009;0.625-0.65;0.6342
235511;2022-05-28;160302;1603-0;SUCUYA;PBA;;;CP731547;2.0;5.0;;PBA;2023-01-20;3.0;1.425;True;0.1197;0.7-0.8;0.7493;+30% del optimo;4.016;Sin incidencia;0.0;Normal;0.9724;BAJA;0.6678;;;;;Ya cosechado;0.0;2.8;2.5946;2.8;2.5946;100-150;144.5672;0.06;0.0538;0.06;0.0538;Ganando o manteniendo agua;0.0;0.7-0.8;0.7446;+30% del optimo;4.48;+30% del optimo;4.784;+30% del optimo;4.464;0-0.2;0.0201;0.625-0.65;0.639
235512;2022-05-28;160303;1603-0;SUCUYA;PBA;;;CP731547;2.0;5.0;;PBA;2023-01-20;3.0;0.6985;True;0.1594;0.7-0.8;0.757;+30% del optimo;4.0172;Sin incidencia;0.0;Normal;0.9997;NORMAL;0.7748;0.7;0.629;0.7;0.629;Cosechar;0.0172;2.8;2.4381;2.8;2.4381;100-150;134.1012;0.05;0.0488;0.05;0.0488;Ganando o manteniendo agua;-0.0517;0.7-0.8;0.7524;+30% del optimo;4.3103;+30% del optimo;4.6897;+30% del optimo;4.5517;0-0.2;0.0229;0.625-0.65;0.6449
235513;2022-05-28;160304;1603-0;SUCUYA;PBA;;;CP731547;2.0;5.0;;PBA;2023-01-20;3.0;2.054;True;0.0773;0.7-0.8;0.7683;+30% del optimo;4.0209;Sin incidencia;0.0;Normal;0.9982;NORMAL;0.8328;;;;;Ya cosechado;0.0;3.4;2.844;3.4;2.844;150-200;163.2769;0.06;0.0595;0.06;0.0595;Ganando o manteniendo agua;0.0;0.7-0.8;0.7636;+30% del optimo;4.801;+30% del optimo;4.9372;+30% del optimo;4.8377;0-0.2;0.0443;0.65-0.675;0.6569
235514;2022-05-28;160401;1604-0;SUCUYA;PBA;;;CP731547;2.0;2.0;;PBA;2023-04-10;3.0;0.811;True;0.1585;0.7-0.8;0.7681;+30% del optimo;4.8551;Sin incidencia;0.0;Normal;0.9993;BAJA;0.6029;0.5 (Media);0.4975;0.5 (Media);0.4975;Cosechar;0.029;3.4;2.8159;3.4;2.8159;150-200;166.3554;0.06;0.056;0.06;0.056;Ganando o manteniendo agua;0.0;0.7-0.8;0.7632;+30% del optimo;4.8841;+30% del optimo;4.9275;+30% del optimo;4.8696;0-0.2;0.0484;0.65-0.675;0.6577
235515;2022-05-28;160402;1604-0;SUCUYA;PBA;;;CP731547;2.0;2.0;;PBA;2023-04-10;3.0;0.6554;True;0.2188;0.7-0.8;0.7728;+30% del optimo;4.88;Sin incidencia;0.0;Normal;1.0;BAJA;0.674;0.7;0.689;0.7;0.689;Cosechar;0.02;3.4;2.9532;3.4;2.9532;150-200;177.2396;0.07;0.0617;0.07;0.0617;Ganando o manteniendo agua;0.0;0.7-0.8;0.7674;+30% del optimo;4.98;+30% del optimo;4.98;+30% del optimo;4.98;0-0.2;0.05;0.65-0.675;0.6671
235516;2022-05-28;160403;1604-0;SUCUYA;PBA;;;CP731547;2.0;2.0;;PBA;2023-04-10;3.0;1.8669;True;0.1011;0.7-0.8;0.7512;+30% del optimo;4.7278;Sin incidencia;0.0;Normal;1.0;BAJA;0.5696;0.6;0.5195;0.6;0.5195;Cosechar;0.0118;2.8;2.6068;2.8;2.6068;150-200;150.8908;0.06;0.054;0.06;0.054;Ganando o manteniendo agua;0.0;0.7-0.8;0.7459;+30% del optimo;4.9112;+30% del optimo;4.9645;+30% del optimo;4.9645;0-0.2;0.0127;0.65-0.675;0.6515
235517;2022-05-28;160404;1604-0;SUCUYA;PBA;;;CP731547;2.0;2.0;;PBA;2023-04-10;3.0;1.292;True;0.1221;0.7-0.8;0.7753;+30% del optimo;4.8435;Sin incidencia;0.0;Normal;1.0;BAJA;0.583;0.6;0.5322;0.6;0.5322;Cosechar;0.0348;2.8;2.7884;2.8;2.7884;150-200;163.7559;0.06;0.0539;0.06;0.0539;Ganando o manteniendo agua;0.0;0.7-0.8;0.7704;+30% del optimo;4.9565;+30% del optimo;4.9391;+30% del optimo;4.9217;0-0.2;0.0565;0.65-0.675;0.6615
235518;2022-05-28;160405;1604-0;SUCUYA;PBA;;;CP731547;2.0;2.0;;PBA;2023-04-10;3.0;1.4725;True;0.0612;0.7-0.8;0.7845;+30% del optimo;4.9203;Sin incidencia;0.0;Normal;0.9996;BAJA;0.6293;;;;;Ya cosechado;0.0;3.4;3.0349;3.4;3.0349;150-200;181.3263;0.06;0.0598;0.06;0.0598;Ganando o manteniendo agua;0.0;0.7-0.8;0.7796;+30% del optimo;4.9928;+30% del optimo;4.9928;+30% del optimo;4.9928;0-0.2;0.0725;0.65-0.675;0.6665
235519;2022-05-28;160406;1604-0;SUCUYA;PBA;;;CP731547;2.0;2.0;;PBA;2023-04-10;3.0;0.7361;True;0.137;0.7-0.8;0.7868;+30% del optimo;4.8413;Sin incidencia;0.0;Normal;1.0;NORMAL;0.7329;;;;;Ya cosechado;0.0;3.4;3.2313;3.4;3.2313;200-250;204.921;0.07;0.0665;0.07;0.0665;Ganando o manteniendo agua;0.0;0.7-0.8;0.7824;+30% del optimo;5.0;+30% del optimo;5.0;+30% del optimo;5.0;0-0.2;0.0679;0.675-0.7;0.6829
235520;2022-05-28;160407;1604-0;SUCUYA;PBA;;;CP731547;2.0;2.0;;PBA;2023-04-10;3.0;0.9146;True;0.086;0.6-0.7;0.6742;+30% del optimo;4.0824;Sin incidencia;0.0;Normal;0.9148;BAJA;0.4799;;;;;Ya cosechado;0.0;1.8;1.7319;1.8;1.7319;75-100;81.6866;0.04;0.0353;0.04;0.0353;Ganando o manteniendo agua;0.0;0.6-0.7;0.6688;Optimo;3.7647;+30% del optimo;4.5647;Optimo;3.6118;0-0.2;-0.0932;0.55-0.575;0.5719
235521;2022-05-28;160408;1604-0;SUCUYA;PBA;;;CP731547;2.0;2.0;;PBA;2023-04-10;3.0;0.7628;True;0.2;0.7-0.8;0.7816;+30% del optimo;4.8167;Sin incidencia;0.0;Normal;1.0;BAJA;0.6487;;;;;Ya cosechado;0.0;3.4;2.9558;3.4;2.9558;150-200;183.0357;0.07;0.063;0.07;0.063;Ganando o manteniendo agua;0.0;0.7-0.8;0.7765;+30% del optimo;5.0;+30% del optimo;5.0;+30% del optimo;4.95;0-0.2;0.0452;0.675-0.7;0.6763
235522;2022-05-28;160409;1604-0;SUCUYA;PBA;;;CP731547;2.0;2.0;;PBA;2023-04-10;3.0;1.5507;True;0.0921;0.7-0.8;0.7766;+30% del optimo;4.7826;1 imagen con exceso;0.5217;Normal;0.9992;BAJA;0.6822;;;;;Ya cosechado;0.0;3.4;3.0343;3.4;3.0343;150-200;186.3375;0.07;0.0605;0.07;0.0605;Ganando o manteniendo agua;0.0;0.7-0.8;0.7714;+30% del optimo;4.8478;+30% del optimo;4.9855;+30% del optimo;4.8623;0-0.2;0.0562;0.65-0.675;0.6656
235523;2022-05-28;160501;1605-0;SUCUYA;PBA;;;CP722086;7.0;3.0;;PBA;2023-03-26;3.0;3.6288;True;0.1212;0.3-0.4;0.3467;+30% del optimo;4.9624;Sin incidencia;0.0;Normal;1.0;NORMAL;0.8949;0.3;0.2208;0.3;0.2208;Cosechar;1.0;0.8;0.7269;0.8;0.7269;25-30;25.8334;0.015;0.0131;0.015;0.0131;Ganando o manteniendo agua;0.0;0.3-0.4;0.3415;+30% del optimo;5.0;-20% del optimo;1.1034;+30% del optimo;5.0;0-0.2;-0.3644;0-0.4;0.3924
235524;2022-05-28;160502;1605-0;SUCUYA;PBA;;;CP722086;7.0;3.0;;PBA;2023-03-26;3.0;2.2764;True;0.1535;0.3-0.4;0.3525;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;NORMAL;0.9418;0.3;0.2272;0.3;0.2272;Cosechar;1.0;0.8;0.7079;0.8;0.7079;20-25;24.7899;0.015;0.0136;0.015;0.0136;Ganando o manteniendo agua;0.0;0.3-0.4;0.347;+30% del optimo;5.0;-20% del optimo;1.0881;+30% del optimo;5.0;0-0.2;-0.353;0-0.4;0.3924
235525;2022-05-28;160601;1606-0;SUCUYA;PBA;;;NA5642;11.0;3.0;;PBA;2023-03-26;3.0;5.441;True;0.0901;0.2-0.3;0.2864;+30% del optimo;4.998;Sin incidencia;0.0;Alto;0.7497;NORMAL;0.7201;0.3;0.2182;0.3;0.2182;Cosechar;1.0;0.6;0.4498;0.6;0.4498;10-15;13.5164;0.0125;0.0114;0.0125;0.0114;5 dias perdiendo agua;-1.9919;0.2-0.3;0.2814;+30% del optimo;5.0;+30% del optimo;4.9838;-10% del optimo;2.3919;0-0.2;-0.3602;0-0.4;0.35
235526;2022-05-28;160602;1606-0;SUCUYA;PBA;;;NA5642;11.0;3.0;;PBA;2023-03-26;3.0;0.3903;True;0.2895;0.3-0.4;0.394;+30% del optimo;5.0;Sin incidencia;0.0;Normal;0.9881;BAJA;0.6459;0.5 (Media);0.4146;0.5 (Media);0.4146;Cosechar;1.0;1;0.8759;1;0.8759;25-30;29.7081;0.02;0.0189;0.02;0.0189;Ganando o manteniendo agua;0.0;0.3-0.4;0.3885;+30% del optimo;5.0;+30% del optimo;5.0;+30% del optimo;4.7407;0-0.2;-0.3115;0.4-0.45;0.4152
235527;2022-05-28;160701;1607-0;SUCUYA;PBA;;;CP722086;7.0;3.0;;PBA;2023-03-27;3.0;0.9292;True;0.117;0.2-0.3;0.2534;+30% del optimo;4.7108;Sin incidencia;-0.0723;Normal;0.9163;NORMAL;0.8547;0.2;0.1614;0.2;0.1614;Cosechar;1.0;0.4;0.3819;0.4;0.3819;10-15;10.0143;0.01;0.0093;0.01;0.0093;5 dias perdiendo agua;-1.1687;0.2-0.3;0.2486;+30% del optimo;5.0;-20% del optimo;1.7108;+30% del optimo;4.3253;0-0.2;-0.3787;0-0.4;0.3326
235528;2022-05-28;160702;1607-0;SUCUYA;PBA;;;CP722086;7.0;3.0;;PBA;2023-03-27;3.0;1.5087;True;0.1046;0.2-0.3;0.2649;+30% del optimo;4.7007;Sin incidencia;0.0;Normal;1.0;NORMAL;0.8898;0.2;0.1763;0.2;0.1763;Cosechar;1.0;0.6;0.4302;0.6;0.4302;10-15;12.5853;0.0125;0.0102;0.0125;0.0102;10 dias perdiendo agua;-2.8832;0.2-0.3;0.26;+30% del optimo;5.0;-20% del optimo;1.0876;+30% del optimo;5.0;0-0.2;-0.3734;0-0.4;0.3391
235529;2022-05-28;160703;1607-0;SUCUYA;PBA;;;CP722086;7.0;3.0;;PBA;2023-03-27;3.0;1.1487;True;0.1121;0.3-0.4;0.3053;+30% del optimo;4.932;Sin incidencia;-0.4175;Normal;1.0;NORMAL;0.8917;0.3;0.2187;0.3;0.2187;Cosechar;1.0;0.6;0.5424;0.6;0.5424;15-20;17.0587;0.0125;0.0125;0.0125;0.0125;15 dias perdiendo agua;-3.0;0.3-0.4;0.3004;+30% del optimo;5.0;-20% del optimo;1.0971;+30% del optimo;5.0;0-0.2;-0.3519;0-0.4;0.365
235530;2022-05-28;160704;1607-0;SUCUYA;PBA;;;CP722086;7.0;3.0;;PBA;2023-03-27;3.0;0.2943;True;0.2759;0.3-0.4;0.3192;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;NORMAL;0.8105;0.3;0.2852;0.3;0.2852;Cosechar;1.0;0.8;0.6419;0.8;0.6419;20-25;23.0048;0.015;0.0144;0.015;0.0144;Ganando o manteniendo agua;-0.8571;0.3-0.4;0.3152;+30% del optimo;5.0;-20% del optimo;1.1905;+30% del optimo;5.0;0-0.2;-0.3462;0-0.4;0.3725
235531;2022-05-28;160801;1608-0;SUCUYA;PBA;;;CG02163;0.0;3.0;;PBA;2023-03-15;3.0;2.6251;True;0.1206;0.5-0.6;0.5855;Optimo;3.3982;Sin incidencia;0.0;Alto;0.662;BAJA;0.4099;;;;;Ya cosechado;0.0;1.4;1.3616;1.4;1.3616;50-75;65.4723;0.03;0.0258;0.03;0.0258;15 dias perdiendo agua;-3.0;0.5-0.6;0.5807;-20% del optimo;1.6062;-10% del optimo;2.7655;-20% del optimo;1.8053;0-0.2;-0.1492;0.525-0.55;0.5408
235532;2022-05-28;160802;1608-0;SUCUYA;PBA;;;CG02163;0.0;3.0;;PBA;2023-03-15;3.0;2.054;True;0.115;0.5-0.6;0.5639;Optimo;3.2486;Sin incidencia;0.0;Alto;0.6288;BAJA;0.4125;;;;;Ya cosechado;0.0;1.4;1.3408;1.4;1.3408;50-75;61.0536;0.03;0.0265;0.03;0.0265;10 dias perdiendo agua;-2.0339;0.5-0.6;0.5592;-20% del optimo;1.7288;-10% del optimo;2.8136;-20% del optimo;1.7062;0-0.2;-0.1672;0.5-0.525;0.524
235533;2022-05-28;160901;1609-0;SUCUYA;PBA;;;RB867515;1.0;3.0;;PBA;2023-03-31;3.0;1.9768;True;0.1333;0.5-0.6;0.5658;Optimo;3.1598;1 imagen con exceso;0.0414;Alto;0.5708;BAJA;0.3592;;;;;Ya cosechado;0.0;1.4;1.3808;1.4;1.3808;50-75;55.7252;0.03;0.0284;0.03;0.0284;Ganando o manteniendo agua;0.0;0.5-0.6;0.5607;-20% del optimo;1.9053;-10% del optimo;2.7751;-20% del optimo;1.4852;0-0.2;-0.1659;0.525-0.55;0.5279
235534;2022-05-28;160902;1609-0;SUCUYA;PBA;;;RB867515;1.0;3.0;;PBA;2023-03-31;3.0;1.1096;True;0.1062;0.5-0.6;0.5143;-10% del optimo;2.6931;Sin incidencia;0.0;Muy Alto;0.4448;BAJA;0.2766;;;;;Ya cosechado;0.0;1.4;1.2028;1.4;1.2028;40-50;43.1201;0.03;0.0257;0.03;0.0257;Ganando o manteniendo agua;-0.8911;0.5-0.6;0.5093;-20% del optimo;1.4455;-10% del optimo;2.1683;-30% del optimo;1.0;0-0.2;-0.2148;0.45-0.5;0.4969
235535;2022-05-28;160903;1609-0;SUCUYA;PBA;;;RB867515;1.0;3.0;;PBA;2023-03-31;3.0;0.6225;True;0.3333;0.4-0.5;0.4719;-20% del optimo;1.881;Sin incidencia;0.0;Muy Alto;0.422;BAJA;0.265;;;;;Ya cosechado;0.0;1.2;1.1286;1.2;1.1286;40-50;40.9202;0.025;0.0218;0.025;0.0218;5 dias perdiendo agua;-1.0;0.4-0.5;0.4667;-20% del optimo;1.2381;-20% del optimo;1.7381;-20% del optimo;1.2143;0-0.2;-0.2705;0.45-0.5;0.4519
235403;2022-05-28;161101;1611-0;SUCUYA;PBA;;;CP722086;6.0;3.0;;PBA;2023-03-23;3.0;3.2684;True;0.1067;0.3-0.4;0.3073;+30% del optimo;4.9659;Sin incidencia;-0.0307;Normal;1.0;NORMAL;0.8571;0.2;0.1952;0.2;0.1952;Cosechar;1.0;0.6;0.5132;0.6;0.5132;10-15;14.8981;0.0125;0.0111;0.0125;0.0111;Ganando o manteniendo agua;-0.9966;0.3-0.4;0.3022;+30% del optimo;5.0;-20% del optimo;1.0375;+30% del optimo;5.0;0-0.2;-0.3607;0-0.4;0.3673
235404;2022-05-28;161201;1612-0;SUCUYA;PBA;;;NA5642;12.0;3.0;;PBA;2023-03-24;3.0;9.9593;True;0.0412;0.3-0.4;0.3612;+30% del optimo;4.9801;1 imagen con exceso;0.0514;Normal;0.9243;NORMAL;0.8203;0.2;0.186;0.2;0.186;Cosechar;0.9864;0.8;0.6167;0.8;0.6167;15-20;19.483;0.0125;0.0124;0.0125;0.0124;Ganando o manteniendo agua;-0.0304;0.3-0.4;0.3563;+30% del optimo;4.9811;+30% del optimo;4.9496;Optimo;3.8888;0-0.2;-0.335;0-0.4;0.3889
235536;2022-05-28;161301;1613-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-31;3.0;3.4116;True;0.1224;0.3-0.4;0.3189;+30% del optimo;4.9767;Sin incidencia;-0.103;Normal;0.9949;NORMAL;0.7101;0.2;0.1562;0.2;0.1562;Ya cosechado;0.0;0.6;0.5088;0.6;0.5088;10-15;13.5426;0.0075;0.007;0.0075;0.007;10 dias perdiendo agua;-2.9867;0.3-0.4;0.3137;+30% del optimo;4.9037;-20% del optimo;1.0233;+30% del optimo;4.9734;0-0.2;-0.369;0-0.4;0.3533
235537;2022-05-28;161302;1613-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-31;3.0;4.7085;True;0.0781;0.3-0.4;0.3514;+30% del optimo;5.0;Sin incidencia;-0.1304;Normal;1.0;NORMAL;0.8051;0.2;0.1696;0.2;0.1696;Cosechar;1.0;0.8;0.6057;0.8;0.6057;15-20;18.1014;0.01;0.0088;0.01;0.0088;15 dias perdiendo agua;-3.0;0.3-0.4;0.3465;+30% del optimo;4.9634;-20% del optimo;1.0732;+30% del optimo;5.0;0-0.2;-0.3629;0-0.4;0.3675
235538;2022-05-28;161411;1614-1;SUCUYA;PBA;;;CP722086;8.0;5.0;;PBA;2023-01-13;3.0;3.2549;True;0.1455;0.7-0.8;0.7466;Optimo;3.971;Sin incidencia;0.0;Alto;0.606;NORMAL;0.8325;0.5 (Media);0.4775;0.5 (Media);0.4775;Cosechar;0.0145;2.8;2.6379;2.8;2.6379;100-150;143.9309;0.05;0.0499;0.05;0.0499;Ganando o manteniendo agua;-0.0072;0.7-0.8;0.7418;-10% del optimo;2.8188;-10% del optimo;2.192;-20% del optimo;1.4203;0-0.2;0.0456;0.625-0.65;0.6409
235539;2022-05-28;161412;1614-1;SUCUYA;PBA;;;CP722086;8.0;5.0;;PBA;2023-01-13;3.0;2.1578;True;0.0787;0.7-0.8;0.7424;Optimo;3.8744;Sin incidencia;0.0;Alto;0.6159;NORMAL;0.8497;;;;;Ya cosechado;0.0;2.8;2.7105;2.8;2.7105;100-150;148.9538;0.06;0.0506;0.06;0.0506;Ganando o manteniendo agua;0.0;0.7-0.8;0.7378;-10% del optimo;2.804;-10% del optimo;2.3065;-20% del optimo;1.5075;0-0.2;0.0462;0.625-0.65;0.6371
235540;2022-05-28;161413;1614-1;SUCUYA;PBA;;;CP722086;8.0;5.0;;PBA;2023-01-13;3.0;0.8585;True;0.0952;0.7-0.8;0.757;Optimo;3.9211;Sin incidencia;0.0;Alto;0.6826;NORMAL;0.8488;;;;;Ya cosechado;0.0;3.4;2.8804;3.4;2.8804;150-200;165.0633;0.06;0.0536;0.06;0.0536;Ganando o manteniendo agua;0.0;0.7-0.8;0.7521;Optimo;3.1447;-10% del optimo;2.75;-20% del optimo;1.8553;0-0.2;0.0638;0.65-0.675;0.6531
235405;2022-05-28;161421;1614-2;SUCUYA;PBA;;;CP731547;1.0;2.0;;PBA;2023-04-02;3.0;3.3284;True;0.5449;0.5-0.6;0.5868;-10% del optimo;2.543;1 imagen con exceso;0.0395;Critico;0.239;BAJA;0.3591;;;;;Ya cosechado;0.0;1.8;1.4229;1.8;1.4711;50-75;57.7978;0.035;0.0314;0.035;0.0332;Ganando o manteniendo agua;-0.9834;0.5-0.6;0.5526;-20% del optimo;1.0298;-30% del optimo;1.0;-30% del optimo;1.0;0-0.2;-0.1653;0.5-0.525;0.5047
235406;2022-05-28;161501;1615-0;SUCUYA;PBA;;;NA5642;12.0;5.0;;PBA;2023-01-14;3.0;5.8657;True;0.1256;0.7-0.8;0.7366;Optimo;3.6742;1 imagen con exceso;0.1165;Alto;0.5502;ALTA;0.9997;;;;;Ya cosechado;0.0;2.8;2.6952;2.8;2.6946;150-200;152.4694;0.06;0.0541;0.06;0.0541;Ganando o manteniendo agua;0.0;0.7-0.8;0.7311;-10% del optimo;2.6686;-10% del optimo;2.1667;-20% del optimo;1.4913;0-0.2;0.0213;0.625-0.65;0.6394
235541;2022-05-28;161601;1616-0;SUCUYA;PBA;;;NA5642;11.0;2.0;;PBA;2023-04-05;3.0;1.92;True;0.1562;0.5-0.6;0.5441;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;BAJA;0.623;0.5 (Media);0.4508;0.5 (Media);0.4508;Cosechar;1.0;1.4;1.2349;1.4;1.2349;40-50;44.5903;0.03;0.0252;0.03;0.0252;Ganando o manteniendo agua;0.0;0.5-0.6;0.5393;+30% del optimo;5.0;+30% del optimo;5.0;+30% del optimo;5.0;0-0.2;-0.2657;0.45-0.5;0.483
235542;2022-05-28;161602;1616-0;SUCUYA;PBA;;;NA5642;11.0;2.0;;PBA;2023-04-05;3.0;2.5962;True;0.1076;0.4-0.5;0.4192;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;NORMAL;0.7254;0.3;0.2656;0.3;0.2656;Cosechar;1.0;1;0.8302;1;0.8302;25-30;26.7997;0.0175;0.0165;0.0175;0.0165;Ganando o manteniendo agua;0.0;0.4-0.5;0.4142;+30% del optimo;5.0;+30% del optimo;5.0;+30% del optimo;4.9732;0-0.2;-0.3042;0.4-0.45;0.4325
235543;2022-05-28;161603;1616-0;SUCUYA;PBA;;;NA5642;11.0;2.0;;PBA;2023-04-05;3.0;4.1865;True;0.1209;0.4-0.5;0.4588;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;BAJA;0.6229;0.4;0.3647;0.4;0.3647;Cosechar;1.0;1.2;1.0019;1.2;1.0019;30-35;34.8719;0.02;0.0198;0.02;0.0198;Ganando o manteniendo agua;0.0;0.4-0.5;0.4538;+30% del optimo;5.0;+30% del optimo;5.0;+30% del optimo;4.9919;0-0.2;-0.3078;0.4-0.45;0.446
235544;2022-05-28;161604;1616-0;SUCUYA;PBA;;;NA5642;11.0;2.0;;PBA;2023-04-05;3.0;3.4508;True;0.0612;0.4-0.5;0.4411;+30% del optimo;4.9907;1 imagen con exceso;0.0311;Normal;0.9943;NORMAL;0.8052;0.3;0.2797;0.3;0.2797;Cosechar;0.9907;1;0.9502;1;0.9502;30-35;32.5102;0.02;0.0195;0.02;0.0195;Ganando o manteniendo agua;0.0;0.4-0.5;0.436;+30% del optimo;4.9721;+30% del optimo;4.9627;+30% del optimo;4.9627;0-0.2;-0.2873;0.4-0.45;0.4434
