COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,62,11.34122288,13,Ene,139.6
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,62,11.34122288,13,Ene,144.96
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,62,11.34122288,13,Ene,140.3
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.04536489,0,Ene,140.17
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,62,11.34122288,13,Ene,137.42
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,91,12.85338593,65,Ene,138.08
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,91,12.85338593,65,Ene,139.59
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.04536489,0,Ene,137.76
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.04536489,0,Ene,131.27
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,139.39
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,139.94
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,145.99
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,135.31
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,143.63
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,140.16
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,153.05
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,139.4
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,137.24
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,136.04
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,138.71
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,146.17
