CICLO,ZONA,CF,FINCA,COD CAM,CAMPO,HA,VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
2122,1,51,Loma Alegre,51070,M-08A, 2.29 , CP72-2086 ,3.00, 2.20 , Arcilloso , Goteo ,25%,30.00,128.56,12.39,19.00,93.98,115.00,73.07
2122,1,51,Loma Alegre,51096,M-09A, 4.81 , CP88-1165 ,10.00, 2.40 , Arcilloso , Goteo ,41%,32.00,150.10,11.44,15.00,118.85,100.00,69.00
2122,1,52,Madronal,52001,NORIA-01, 35.31 , CP88-1165 ,5.00, 2.20 , Franco Arcilloso , Goteo ,32%,39.00,103.04,11.67,27.00,92.83,85.00,66.64
2122,1,52,Madronal,52006,STA. ELI-02, 23.86 , CP72-2086 ,5.00, 2.60 , Arcilloso , Goteo ,34%,40.00,115.67,11.77,28.00,102.73,100.00,91.44
2122,1,94,Madronal-02,94003,MD1-03, 22.19 , CP89-2143 ,7.00, 1.65 , Arcilloso , Goteo ,11%,34.00,126.26,11.44,27.00,176.36,105.00,65.82
2122,1,94,Madronal-02,94004,MD2-01, 23.22 , CP72-2086 ,6.00, 1.90 , Arcilloso , Goteo ,23%,33.00,117.96,11.51,28.00,100.23,103.00,77.87
2122,1,94,Madronal-02,94008,MD2-04, 21.40 , NA56-42 ,6.00, 1.90 , Arcilloso , Goteo ,43%,32.00,83.04,10.75,43.00,81.96,85.00,75.31
2122,1,94,Madronal-02,94025,MD3-01, 25.27 , RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,41%,32.00,103.43,11.34,17.00,108.61,105.00,89.83
2122,1,99,San Isidro,99001,S I.-01, 23.76 , CP89-2143 ,6.00, 1.90 , Franco Arcilloso , Goteo ,46%,48.00,125.46,11.21,27.00,237.93,115.00,102.87
2122,1,99,San Isidro,99006,S I.-06, 11.32 , CP72-2086 ,6.00, 1.90 , Franco Arcilloso , Goteo ,37%,50.00,91.86,11.70,42.00,136.48,90.00,90.67
2122,2,3,El Tamarindo,3001,ET-01, 31.78 , NA56-42 ,3.00, 2.20 , Franco , Goteo ,51%,57.00,112.53,10.68,27.00,99.59,120.00,91.51
2122,2,55,El Zapote,55042,MANGO-01, 4.60 , NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,32%,37.00,150.96,11.28,29.00,86.79,113.00,74.15
2122,2,55,El Zapote,55043,MANGO-02, 16.82 , CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,51%,36.00,150.07,11.28,30.00,120.16,112.00,100.97
2122,2,55,El Zapote,55044,MANGO-03, 3.60 , Otras ,4.00, 2.20 , Franco , Goteo ,37%,38.00,150.08,11.31,29.00,113.45,105.57,104.84
2122,2,55,El Zapote,55071,MANGO-03A, 1.53 , Otras ,4.00, 2.20 , Franco , Goteo ,31%,37.00,103.04,11.31,29.00,115.04,85.00,96.39
2122,2,55,El Zapote,55048,MANGO-07, 13.37 , CG98-78 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,46%,36.00,150.05,11.28,24.00,90.37,108.00,98.16
2122,2,55,El Zapote,55054,MANGO-13, 3.85 , CP04-2115 ,3.00, 2.20 , Franco Arcilloso , Goteo ,37%,36.00,150.06,11.08,24.00,84.49,85.00,86.49
2122,2,55,El Zapote,55005,Z-05, 2.09 , CP72-2086 ,9.00, 2.40 , Franco Arcilloso , Goteo ,45%,34.00,112.75,11.08,24.00,92.22,115.00,108.83
