VARIEDAD;CLAS COR;DISTSUR;TIPO DE SUELO;RIEGO;FRACC REAL;KG N REAL;KG P REAL;KG K REAL;KG Zn REAL;Total mm;1re Fase INV mm;2da Fase Inv;Edad 1re Fase Inv;Edad 2da Fase Inv;RANGO EDAD 1re Fase7;RANGO EDAD 2da Fase;RIEGO 02;TALLOS BIOMETRIA
 RB867515 ;0;2.2; Franco Arcillo Arenoso ; Goteo ;5;1719.25;802.2;935.91;200.55;2432;1115;1317;3.16;7.69;De 3 a 4;Mayor a 5; Con Riego ;12.57
 RB867515 ;2;2.2; Franco Arcilloso ; Goteo ;5;2029.42;677;812.4;203.1;2001;728;1273;4.73;9.27;Mayor de 4;Mayor a 5; Con Riego ;13.74
 RB867515 ;2;2.2; Franco Arcilloso ; Goteo ;5;1433.09;478;573.6;143.4;2087;766;1321;4.73;9.27;Mayor de 4;Mayor a 5; Con Riego ;13.8
 RB867515 ;3;2.4; Franco Arenoso ; Goteo ;5;1010.41;400;480;120;2001;728;1273;4.96;9.5;Mayor de 4;Mayor a 5; Con Riego ;16
 RB867515 ;3;1.8; Franco Arcilloso ; Goteo ;5;1563.67;715;858;214.5;2043;700;1343;4.96;9.5;Mayor de 4;Mayor a 5; Con Riego ;16.84
 RB867515 ;0;2.2; Franco Arcilloso ; Goteo ;5;4139.23;2119.35;2471.26;530.02;2331;832;1499;1.78;6.31;Menor de 2;Mayor a 5; Con Riego ;12.6
 RB867515 ;0;2.2; Franco Arenoso ; Goteo ;5;674.59;314.4;366.8;78.6;2368;894;1474;5.72;10.26;Mayor de 4;Mayor a 5; Con Riego ;16.9
 RB867515 ;2;2.2; Arcilloso ; Goteo ;5;1088.3;465.34;585.96;211.84;2368;894;1474;5.23;9.76;Mayor de 4;Mayor a 5; Con Riego ;9.35
 RB867515 ;0;2.2; Franco Arcillo Arenoso ; Goteo ;6;1381.46;635.4;741.3;158.86;2323;1107;1216;4.87;9.4;Mayor de 4;Mayor a 5; Con Riego ;15.27
 RB867515 ;2;2.2; Arcilloso ; Goteo ;6;538.18;174;208.8;52.2;2396.5;962.5;1434;5.82;10.36;Mayor de 4;Mayor a 5; Con Riego ;11.4
 RB867515 ;0;2.2; Franco Arcillo Arenoso ; Goteo ;6;823.01;481.2;561.4;120.3;2396.5;962.5;1434;5.98;10.52;Mayor de 4;Mayor a 5; Con Riego ;13.6
