COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,134.440
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,133.690
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,137.070
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,135.550
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,125.870
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,125.040
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,134.850
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,130.230
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.60420776,15,Feb,125.830
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,129.130
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,125.000
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.0973044,40,Feb,133.330
55006,El Zapote,Z-06,MECANIZADA,RB86-7515,Si,TRINEXAPAC ,125.2214391,13.73566709,57.00,12.32741617,15,Feb,125.990
