VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CP08-2256 ,4.00, 2.20 , Franco , Goteo ,29%,32.00,133.22,11.80,29.00,142.62,120.00,124.75
 CP72-2086 ,5.00, 2.20 , Franco , Goteo ,55%,38.00,113.32,11.93,28.00,157.23,110.00,116.48
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,38%,37.00,150.10,10.03,28.00,127.17,110.00,114.82
 CP72-2086 ,5.00, 1.90 , Franco , Goteo ,26%,25.00,150.10,10.95,37.00,125.98,120.00,113.51
 CP72-2086 ,3.00, 1.60 , Franco , Mini Aspersion ,26%,45.00,126.93,10.59,30.00,93.78,110.00,93.92
 CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,44%,48.00,122.45,10.59,36.00,96.11,110.00,82.05
 CP89-2143 ,4.00, 2.20 , Franco Arcilloso , Goteo ,41%,44.00,150.14,10.59,38.00,113.32,122.00,90.47
 CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,44%,47.00,141.73,10.55,38.00,79.09,114.00,71.35
 CP88-1165 ,5.00, 2.20 , Franco Arcilloso , Goteo ,43%,56.00,139.05,10.62,41.00,112.73,107.00,78.97
 NA56-42 ,5.00, 2.20 , Franco Arcilloso , Goteo ,43%,65.00,150.06,10.62,41.00,105.81,110.00,80.83
 NA56-42 ,5.00, 2.20 , Franco Arcilloso , Goteo ,34%,48.00,150.13,10.62,40.00,84.58,128.00,100.73
 CP88-1165 ,2.00, 2.20 , Franco , Goteo ,28%,48.00,121.90,13.41,29.00,74.19,100.00,89.27
 CP88-1165 ,4.00, 2.20 , Franco Arenoso , Goteo ,34%,38.00,172.66,11.47,42.00,107.19,133.00,75.32
 RB86-7515 ,4.00, 2.20 , Franco Arenoso , Goteo ,50%,52.00,170.04,11.47,43.00,125.04,140.00,116.01
 CP72-2086 ,4.00, 2.20 , Franco Arenoso , Goteo ,41%,44.00,172.66,11.47,43.00,118.67,132.00,92.43
 NA56-42 ,4.00, 2.20 , Arcilloso , Goteo ,30%,40.00,112.79,10.95,30.00,93.83,95.00,64.55
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,50%,45.00,150.14,10.95,23.00,72.63,75.00,72.21
 CP72-2086 ,5.00, 1.90 , Franco Arcilloso , Goteo ,49%,71.00,103.07,10.68,23.00,75.80,90.00,89.58
 CP72-2086 ,5.00, 2.20 , Arcilloso , Goteo ,40%,38.00,103.09,11.34,20.00,86.45,85.00,69.13
 CP72-2086 ,5.00, 1.90 , Franco , Goteo ,41%,35.00,128.81,11.77,34.00,94.50,110.00,85.13
 RB86-7515 ,5.00, 2.40 , Franco Arcilloso , Goteo ,42%,54.00,103.04,10.91,33.00,62.27,70.00,46.75
 CP88-1165 ,5.00, 2.40 , Arcilloso , Goteo ,47%,39.00,86.87,11.05,13.00,79.88,78.00,65.27
 CP88-1165 ,5.00, 2.40 , Arcilloso , Goteo ,22%,39.00,103.13,11.47,17.00,85.53,85.00,71.08
 CP88-1165 ,5.00, 2.40 , Franco Arcilloso , Goteo ,47%,36.00,103.06,11.01,9.00,85.50,75.00,68.04
 CP89-2143 ,3.00, 2.20 , Franco , Goteo ,24%,42.00,150.08,10.88,6.00,115.85,112.00,108.54
 CP72-2086 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,42%,42.00,206.15,10.91,4.00,96.20,85.00,102.75
 CP00-1101 ,6.00, 2.20 , Franco Arcillo Arenoso , Goteo ,46%,37.00,150.09,11.54,4.00,109.75,122.00,116.12
 CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,39%,18.00,113.49,12.72,22.00,72.01,110.00,62.34
 NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,30%,28.00,132.54,11.37,36.00,91.55,114.00,83.51
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,27%,22.00,139.85,11.51,36.00,115.92,125.00,98.51
 CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,31%,36.00,129.53,11.47,36.00,127.33,100.00,96.47
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,52%,35.00,138.08,8.55,15.00,77.04,80.00,60.56
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,39%,44.00,92.69,11.28,17.00,118.26,95.00,69.92
 CP00-1101 ,5.00, 2.20 , Franco Arcilloso , Goteo ,35%,52.00,103.09,11.47,37.00,79.06,95.00,65.94
 CG02-163 ,2.00, 2.20 , Franco , Goteo ,13%,37.00,102.94,11.21,17.00,70.86,91.00,71.56
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,39%,41.00,115.01,8.55,15.00,67.65,80.00,76.56
 RB86-7515 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,14%,37.00,102.90,11.37,22.00,99.24,90.00,60.56
 RB84-5210 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,6%,37.00,96.61,11.41,21.00,80.54,85.00,60.58
 RB84-5210 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,24%,38.00,119.44,11.41,21.00,93.49,90.00,62.91
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,49%,36.00,107.32,7.50,16.00,70.02,80.00,72.54
 RB86-7515 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,20%,38.00,103.06,11.41,21.00,104.03,110.00,61.37
 RB86-7515 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,36%,38.00,103.07,11.41,21.00,101.99,114.00,57.68
 CP72-2086 ,5.00, 1.80 , Franco Arcillo Arenoso , Goteo ,27%,21.00,142.16,11.80,36.00,103.73,112.00,94.59
 CP72-2086 ,5.00, 2.20 , Arcilloso , Goteo ,32%,28.00,112.35,12.75,4.00,103.70,105.00,100.10
 CP72-2086 ,4.00, 2.20 , Arcilloso , Goteo ,28%,33.00,132.13,12.50,18.00,122.42,120.00,114.94
 CP89-2143 ,5.00, 1.90 , Franco Arenoso , Goteo ,38%,50.00,172.48,12.23,36.00,106.34,130.00,125.85
 CP72-2086 ,5.00, 1.90 , Franco Arcilloso , Goteo ,32%,51.00,145.51,12.20,38.00,132.36,115.00,105.80
 NA56-42 ,2.00, 1.60 , Arcilloso , Mini Aspersion ,43%,74.00,83.63,11.80,32.00,78.83,50.00,45.40
 CP88-1165 ,5.00, 2.20 , Arcilloso , Goteo ,35%,31.00,95.14,10.75,22.00,84.50,90.00,64.02
 CP72-2086 ,5.00, 2.20 , Franco , Goteo ,55%,69.00,79.03,10.65,20.00,87.92,80.00,78.36
 CP88-1165 ,5.00, 2.20 , Franco , Goteo ,41%,28.00,99.06,10.85,23.00,130.84,100.00,77.90
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,42%,29.00,113.63,10.85,22.00,93.92,105.00,87.84
 CP72-2086 ,4.00, 2.20 , Arcilloso , Goteo ,33%,30.00,94.29,12.29,44.00,106.64,95.00,92.63
 CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,21%,35.00,129.18,10.98,23.00,76.62,98.00,89.35
 CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,33%,29.00,130.07,10.95,21.00,80.51,105.00,82.21
 CP72-2086 ,6.00, 1.50 , Franco , Gravedad ,52%,8.00,124.24,10.36,51.00,89.26,110.00,89.92
 CP72-2086 ,6.00, 1.50 , Franco Arenoso , Gravedad ,41%,43.00,125.06,11.28,24.00,137.20,115.00,97.31
 CP72-2086 ,5.00, 1.50 , Franco Arenoso , Gravedad ,34%,48.00,156.80,11.24,24.00,114.69,100.00,173.45
 NA56-42 ,10.00, 1.50 , Franco , Gravedad ,59%,40.00,122.38,11.31,24.00,136.48,117.00,114.89
 CG02-163 ,1.00, 1.65 , Franco , Gravedad ,17%,45.00,124.33,11.31,29.00,110.68,100.00,98.35
 CP72-2086 ,6.00, 1.50 , Franco , Gravedad ,40%,49.00,121.53,11.31,28.00,91.72,110.00,109.76
 CP72-2086 ,5.00, 1.50 , Franco , Gravedad ,53%,51.00,127.42,11.34,24.00,124.95,100.00,99.05
 CP72-2086 ,5.00, 1.50 , Franco , Gravedad ,51%,36.00,127.93,11.31,23.00,185.10,113.00,116.75
 CP72-2086 ,6.00, 1.50 , Franco Arcilloso , Gravedad ,40%,42.00,117.24,11.31,26.00,118.06,90.00,85.71
 CP72-2086 ,5.00, 1.50 , Franco , Gravedad ,57%,44.00,125.44,11.28,25.00,77.66,75.00,103.45
 CP72-2086 ,5.00, 1.50 , Franco Arcilloso , Gravedad ,33%,44.00,125.44,11.31,26.00,80.78,90.00,101.10
 CG02-163 ,1.00, 1.65 , Franco , Gravedad ,25%,45.00,97.15,11.51,30.00,121.03,120.00,135.87
 RB84-5210 ,1.00, 1.65 , Franco Arenoso , Gravedad ,8%,53.00,124.61,11.57,32.00,109.58,117.00,114.81
 RB84-5210 ,1.00, 1.65 , Franco Arenoso , Gravedad ,8%,52.00,125.57,11.28,24.00,154.41,117.00,108.48
 CG04-10295 ,1.00, 1.65 , Franco Arenoso , Gravedad ,6%,53.00,125.79,11.54,31.00,171.44,130.00,120.81
 CP72-2086 ,6.00, 1.50 , Franco Arenoso , Gravedad ,68%,58.00,120.54,11.51,32.00,105.63,105.00,68.47
 CP72-2086 ,5.00, 1.50 , Franco , Gravedad ,66%,52.00,126.28,11.54,32.00,112.92,95.00,121.01
 CP72-2086 ,6.00, 1.50 , Franco , Gravedad ,52%,37.00,125.07,11.28,38.00,97.43,115.00,114.53
 CG02-163 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,3%,22.00,124.02,11.67,38.00,86.09,80.00,75.95
 CP72-2086 ,4.00, 1.50 , Franco Arcilloso , Gravedad ,23%,28.00,123.79,11.44,19.00,80.29,110.00,88.57
 CP72-2086 ,5.00, 1.50 , Franco Arcilloso , Gravedad ,34%,28.00,124.92,11.44,19.00,67.16,85.00,75.84
 CG98-78 ,3.00, 1.50 , Franco Arcilloso , Gravedad ,23%,26.00,126.04,11.41,19.00,62.75,75.00,86.40
 RB86-7515 ,2.00, 1.50 , Franco Arcilloso , Gravedad ,26%,44.00,119.87,11.14,29.00,73.08,80.00,56.43
 CP72-2086 ,4.00, 1.50 , Franco Arcilloso , Gravedad ,32%,29.00,125.44,11.44,20.00,77.38,80.00,51.80
 CP72-2086 ,4.00, 1.50 , Franco , Gravedad ,32%,29.00,122.64,11.47,21.00,85.13,75.00,85.02
 CG98-78 ,3.00, 1.50 , Franco , Gravedad ,24%,73.00,125.60,11.01,64.00,88.88,85.00,88.74
 RB86-7515 ,1.00, 1.65 , Franco , Gravedad ,27%,37.00,126.04,11.37,21.00,116.05,115.00,100.71
 CP72-2086 ,6.00, 1.50 , Franco , Gravedad ,54%,30.00,120.79,11.41,21.00,101.89,97.00,93.59
 RB86-7515 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,30%,42.00,125.17,11.24,18.00,88.90,108.00,94.85
 CP72-2086 ,3.00, 1.50 , Franco Arcilloso , Gravedad ,3%,26.00,124.87,11.44,19.00,94.19,110.00,98.98
 CP72-2086 ,4.00, 1.50 , Franco Arcilloso , Gravedad ,23%,40.00,126.28,11.37,40.00,53.13,75.00,86.24
 CP72-2086 ,7.00, 1.50 , Franco , Gravedad ,24%,27.00,124.12,11.37,22.00,141.37,93.00,90.96
 CP72-2086 ,7.00, 1.50 , Franco , Gravedad ,36%,16.00,118.75,11.37,36.00,122.03,100.00,107.65
 CG04-10295 ,2.00, 1.50 , Franco , Gravedad ,6%,40.00,125.30,11.28,36.00,67.23,105.00,133.30
 CP73-1547 ,2.00, 1.50 , Franco , Gravedad ,4%,40.00,125.34,11.28,36.00,61.95,109.75,47.37
 CG04-10295 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,14%,42.00,124.68,11.34,36.00,98.81,98.00,88.22
 CP73-1547 ,0.00, 1.50 , Franco Arcilloso , Gravedad ,22%,70.00,124.82,10.72,51.00,69.13,103.00,71.52
 CP73-1547 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,13%,48.00,124.86,11.34,30.00,97.32,115.00,83.40
 CG02-163 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,3%,39.00,124.12,11.41,41.00,116.35,96.00,87.21
 CP73-1547 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,17%,50.00,127.54,11.41,35.00,110.64,125.00,112.34
 CP73-1547 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,13%,44.00,122.72,11.37,35.00,112.42,120.00,100.10
 CP73-1547 ,1.00, 1.65 , Franco , Gravedad ,9%,57.00,125.44,11.51,36.00,91.51,120.00,85.76
 CP73-1547 ,1.00, 1.65 , Franco , Gravedad ,34%,68.00,126.43,11.41,36.00,81.96,110.00,94.79
 CP73-1547 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,5%,44.00,125.39,11.41,36.00,109.73,115.00,63.47
 NA56-42 ,3.00,2.2,Franco Arcilloso,Goteo,43%,36.00,150.96,11.24,48.00,119.87,135.00,84.83
 CP72-2086 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,45%,32.00,150.07,11.21,48.00,150.28,135.00,94.24
 OTRAS ,3.00,2.2,Franco,Goteo,38%,34.00,150.08,11.21,47.00,118.17,115.00,66.34
 CG98-78 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,46%,34.00,150.05,11.37,46.00,118.95,130.00,91.78
 CP04-2115 ,2.00,2.2,Franco Arcilloso,Goteo,52%,30.00,150.06,12.10,52.00,131.96,110.00,76.17
 CP72-2086 ,8.00,2.4,Franco Arcilloso,Goteo,50%,30.00,112.75,12.13,52.00,103.34,125.00,109.42
 CP72-2086 ,5.00,1.9,Franco Arcillo Arenoso,Goteo,43%,24.00,128.79,12.10,49.00,113.34,140.00,98.07
 CP72-2086 ,2.00,2.2,Franco Arenoso,Goteo,38%,29.00,172.57,12.13,51.00,142.07,140.00,118.03
 RB86-7515 ,4.00,2.2,Franco Arcilloso,Goteo,48%,28.00,162.10,12.10,51.00,144.90,143.30,134.91
 CP72-2086 ,2.00,2.2,Franco Arcilloso,Goteo,27%,60.00,150.10,11.37,64.00,135.65,145.00,139.45
 CP89-2143 ,2.00,2.2,Arcilloso,Goteo,51%,32.00,118.94,11.28,21.00,92.66,100.00,84.78
 OTRAS ,3.00,2.2,Arcilloso,Goteo,28%,33.00,150.06,11.41,26.00,110.42,131.00,92.51
 OTRAS ,3.00,2.2,Arcilloso,Goteo,32%,32.00,111.11,11.08,20.00,87.21,85.00,69.50
 CP72-2086 ,2.00,2.2,Arcilloso,Goteo,8%,30.00,159.73,11.18,21.00,111.80,135.00,97.33
 CP89-2143 ,2.00,2.2,Arcilloso,Goteo,50%,32.00,124.62,11.31,20.00,104.07,130.00,99.60
 OTRAS ,3.00,2.2,Franco Arcilloso,Goteo,53%,32.00,106.55,11.14,19.00,97.49,106.00,80.77
 CP88-1165 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,21%,33.00,103.04,11.14,18.00,113.95,105.00,91.58
 CP72-2086 ,3.00,2.2,Arcilloso,Goteo,60%,36.00,113.40,11.14,22.00,76.26,75.00,72.51
 CG98-78 ,2.00,1.9,Franco,Goteo,42%,28.00,141.25,12.03,42.00,106.71,113.00,92.96
 CP89-2143 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,27%,26.00,134.78,14.50,40.00,99.95,125.00,108.49
 CP00-1101 ,2.00,2.2,Franco Arcilloso,Goteo,17%,26.00,154.87,12.62,8.00,91.40,116.00,103.49
 CP72-2086 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,28%,35.00,150.10,11.01,42.00,129.69,140.00,125.34
 OTRAS ,2.00,2.2,Franco Arcilloso,Goteo,27%,35.00,112.30,11.31,52.00,101.55,95.00,82.60
 CP00-1101 ,2.00,2.2,Franco Arcilloso,Goteo,45%,27.00,155.21,12.62,9.00,90.83,110.00,99.89
 CP72-2086 ,2.00,2.2,Franco,Goteo,36%,36.00,172.53,11.31,50.00,138.01,125.00,125.41
 OTRAS ,2.00,2.2,Franco,Goteo,82%,27.00,132.33,12.43,27.00,105.05,100.00,119.59
 CP88-1165 ,7.00,2.6,Franco Arcillo Arenoso,Goteo,29%,18.00,143.54,12.59,13.00,92.65,125.00,120.18
 CG04-10295 ,1.00,1.9,Franco Arcillo Arenoso,Goteo,62%,29.00,145.32,12.03,1.00,116.94,130.00,124.12
 CP72-2086 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,29%,24.00,150.65,12.98,2.00,117.54,130.00,133.86
 CP72-2086 ,2.00,2.2,Franco Arcilloso,Goteo,33%,24.00,152.27,13.58,17.00,113.34,110.00,135.20
 NA56-42 ,1.00,2.2,Franco Arcilloso,Goteo,79%,26.00,150.91,14.40,42.00,104.90,100.00,101.29
 CP72-2086 ,4.00,1.9,Arcilloso,Goteo,70%,20.00,140.28,12.66,17.00,116.76,120.00,62.62
 NA56-42 ,3.00,2.2,Franco Arcilloso,Goteo,41%,20.00,146.85,13.38,17.00,106.14,129.00,103.74
 CP08-2256 ,4.00,1.4,Franco Arenoso,Gravedad,13%,23.00,112.28,12.56,58.00,129.72,123.00,115.04
 CP89-2143 ,3.00,1.5,Franco Arenoso,Gravedad,11%,25.00,125.04,12.66,52.00,96.23,128.00,100.43
 CP72-2086 ,3.00,1.5,Franco Arcilloso,Gravedad,22%,21.00,126.29,11.44,17.00,111.86,110.00,106.69
 CP72-2086 ,2.00,1.5,Franco Arcillo Arenoso,Gravedad,28%,25.00,122.63,12.33,47.00,78.07,160.00,118.65
 CP89-2143 ,2.00,1.5,Franco Arcilloso,Gravedad,31%,24.00,124.04,12.46,51.00,85.71,118.00,75.84
 OTRAS ,3.00,1,Franco Arcilloso,Gravedad,16%,19.00,134.91,12.69,59.00,90.70,115.00,96.43
 NA56-42 ,6.00,1.75,Franco Arenoso,Gravedad,27%,29.00,124.47,11.54,19.00,98.65,115.00,86.41
 NA56-42 ,9.00,2.6,Arcilloso,Goteo,59%,26.00,128.69,12.33,49.00,81.69,110.00,109.68
 NA56-42 ,3.00,2.2,Franco Arcilloso,Goteo,39%,29.00,117.99,11.14,14.00,82.58,100.00,77.22
 NA56-42 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,45%,32.00,103.04,12.33,50.00,59.58,85.00,70.53
 CP72-2086 ,6.00,1.9,Franco Arcilloso,Goteo,57%,33.00,117.68,12.33,50.00,107.16,105.00,90.60
 CG98-78 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,20%,28.00,112.47,11.51,4.00,121.87,130.00,102.20
 NA56-42 ,6.00,1.9,Franco Arcillo Arenoso,Goteo,47%,27.00,150.10,12.20,41.00,130.30,130.00,114.45
 NA56-42 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,41%,15.00,150.19,12.69,40.00,77.88,115.00,110.98
 CP73-1547 ,12.00,1.4,Franco Arcillo Arenoso,Gravedad,27%,32.00,103.27,11.47,97.00,108.13,118.00,72.99
 CP72-2086 ,7.00,1.5,Franco Arcilloso,Goteo,49%,25.00,132.46,11.70,28.00,163.46,118.00,105.09
 CP72-2086 ,5.00,1.9,Franco Arcillo Arenoso,Goteo,36%,28.00,122.04,11.64,28.00,171.49,110.00,98.20
 NA56-42 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,41%,21.00,150.27,12.20,30.00,127.09,135.00,125.59
 NA56-42 ,5.00,1.9,Franco Arcillo Arenoso,Goteo,21%,26.00,142.53,12.13,29.00,125.05,125.00,110.58
 CP00-1101 ,5.00,2.2,Franco Arcilloso,Goteo,42%,13.00,155.69,12.10,31.00,108.24,126.00,121.50
 NA56-42 ,4.00,2.2,Arcilloso,Goteo,27%,24.00,147.27,11.14,63.00,109.41,126.00,88.02
 CP72-2086 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,35%,20.00,157.20,12.82,32.00,91.53,126.00,121.60
 NA56-42 ,6.00,1.9,Arcilloso,Goteo,37%,27.00,125.12,11.24,82.00,107.39,105.00,83.71
 NA56-42 ,8.00,2.4,Franco Arcilloso,Goteo,31%,23.00,150.10,12.10,7.00,109.40,133.00,96.76
 NA56-42 ,1.00,1.65,Franco Arenoso,Gravedad,41%,35.00,144.55,12.00,29.00,120.20,125.00,99.30
 CP89-2143 ,2.00,2.2,Franco Arenoso,Goteo,14%,6.00,156.65,11.05,11.00,98.95,115.00,86.83
 NA56-42 ,8.00,2.2,Franco Arcillo Arenoso,Goteo,39%,36.00,132.33,12.33,16.00,101.42,120.00,107.75
 CP72-2086 ,3.00,1.5,Franco Arenoso,Gravedad,15%,26.00,139.62,13.84,31.00,119.49,120.00,142.47
 CP72-2086 ,3.00,2.2,Franco Arenoso,Goteo,49%,23.00,118.17,12.85,33.00,104.21,95.00,121.81
 CP00-1630 ,2.00,2.2,Franco Arenoso,Goteo,22%,28.00,124.25,13.87,27.00,51.91,80.00,84.38
 CP72-2086 ,2.00,2.2,Franco Arenoso,Goteo,29%,28.00,149.33,13.91,28.00,105.03,108.00,108.11
 CP72-2086 ,6.00,1.9,Franco Arenoso,Goteo,64%,31.00,136.36,13.91,28.00,97.67,100.00,75.92
 CP72-2086 ,3.00,2.2,Franco Arenoso,Goteo,56%,31.00,173.88,12.92,23.00,96.36,110.00,98.70
 CP72-2086 ,2.00,2.2,Franco Arenoso,Goteo,33%,31.00,161.31,13.02,24.00,106.57,110.00,98.11
 CP88-1165 ,3.00,2.2,Franco Arenoso,Goteo,39%,36.00,119.13,11.47,5.00,68.45,82.00,82.84
 CP89-2143 ,2.00,2.2,Franco Arenoso,Goteo,32%,31.00,134.39,12.92,23.00,113.42,90.00,79.96
 NA56-42 ,5.00,2.4,Franco Arenoso,Goteo,61%,34.00,118.94,12.95,23.00,75.89,90.00,90.93
 CP72-2086 ,5.00,1.9,Franco Arenoso,Goteo,55%,34.00,162.11,12.98,24.00,100.84,108.00,101.78
 CP08-2256 ,3.00,2.2,Franco Arenoso,Goteo,23%,36.00,127.76,12.98,24.00,89.30,108.00,96.07
 CP72-2086 ,3.00,2.2,Franco Arenoso,Goteo,28%,37.00,125.86,12.20,25.00,94.38,100.00,101.93
 NA56-42 ,3.00,2.2,Franco Arenoso,Goteo,49%,37.00,118.50,12.20,25.00,94.52,96.00,103.59
 NA56-42 ,3.00,2.2,Franco Arenoso,Goteo,15%,19.00,147.56,12.85,33.00,117.83,126.00,113.54
 OTRAS ,5.00,1.7,Franco Arcilloso,Goteo,43%,32.00,108.94,11.97,41.00,150.99,108.00,96.44
 CP72-2086 ,6.00,1.7,Franco Arcilloso,Goteo,51%,21.00,142.42,11.87,38.00,122.64,118.00,91.19
