VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CP89-2143 ,6.00, 1.90 , Franco Arcilloso , Goteo ,46%,48.00,125.46,11.21,27.00,237.93,115.00,102.87
 CP72-2086 ,6.00, 1.90 , Franco Arcilloso , Goteo ,37%,50.00,91.86,11.70,42.00,136.48,90.00,90.67
 NA56-42 ,3.00, 2.20 , Franco , Goteo ,51%,57.00,112.53,10.68,27.00,99.59,120.00,91.51
 NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,32%,37.00,150.96,11.28,29.00,86.79,113.00,74.15
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,51%,36.00,150.07,11.28,30.00,120.16,112.00,100.97
 Otras ,4.00, 2.20 , Franco , Goteo ,37%,38.00,150.08,11.31,29.00,113.45,105.57,104.84
 Otras ,4.00, 2.20 , Franco , Goteo ,31%,37.00,103.04,11.31,29.00,115.04,85.00,96.39
 CG98-78 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,46%,36.00,150.05,11.28,24.00,90.37,108.00,98.16
 CP04-2115 ,3.00, 2.20 , Franco Arcilloso , Goteo ,37%,36.00,150.06,11.08,24.00,84.49,85.00,86.49
 CP72-2086 ,9.00, 2.40 , Franco Arcilloso , Goteo ,45%,34.00,112.75,11.08,24.00,92.22,115.00,108.83
 CP72-2086 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,37%,37.00,128.79,11.14,23.00,114.35,115.00,105.05
 CP72-2086 ,3.00, 2.20 , Franco Arenoso , Goteo ,46%,37.00,172.57,11.08,23.00,123.83,120.00,117.88
 RB86-7515 ,5.00, 2.20 , Franco Arcilloso , Goteo ,51%,37.00,162.10,11.11,24.00,103.11,120.00,120.66
 RB86-7515 ,1.00, 1.75 , Franco Arcilloso , Mini Aspersion ,24%,23.00,108.57,10.52,43.00,94.74,98.00,88.44
 CP72-2086 ,3.00, 1.50 , Franco Arcilloso , Mini Aspersion ,40%,38.00,73.19,10.88,40.00,105.78,92.00,89.77
 CP72-2086 ,8.00, 1.50 , Arcilloso , Mini Aspersion ,37%,35.00,73.17,10.88,52.00,97.54,92.00,67.77
 CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,24%,23.00,150.10,10.78,37.00,136.49,140.00,127.40
 CP89-2143 ,3.00, 2.20 , Arcilloso , Goteo ,38%,32.00,118.94,11.14,38.00,88.86,102.00,90.69
 Otras ,4.00, 2.20 , Arcilloso , Goteo ,35%,34.00,150.06,11.01,38.00,115.79,102.00,79.47
