CODLOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPOMAD,TCHREAL,ccMAD,DIASMAD,EDAD,DIASSUP,MESCORTE,CORE
60029,Vasconia,SITIO03,MECANIZADA,CP881165,Si,TRINEXAPAC ,78.38763231,12.11925877,66,11.57133465,26,Dic,125.05
60016,Vasconia,ANIMAS06A,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,89.43268072,11.85249052,66,11.37409599,26,Dic,129.18
60016,Vasconia,ANIMAS06A,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,89.43268072,11.85249052,66,11.37409599,26,Dic,123.56
16420,Sucuya,16420,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,111.3042763,12.30860166,68,12.45890861,26,Dic,157.76
50053,Montelimar02,CF15,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,109.7983586,13.66140641,40,11.7357002,26,Dic,128.35
53151,Montelimar,SAN IGN01,MANUAL,NA5642,Si,GLIFOSATO ALEMAN,87.53190883,13.023822,58,11.43984221,40,Dic,139.51
53151,Montelimar,SAN IGN01,MANUAL,NA5642,Si,GLIFOSATO ALEMAN,87.53190883,13.023822,58,11.43984221,40,Dic,127.99
60016,Vasconia,ANIMAS06A,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,89.43268072,11.85249052,66,11.37409599,26,Dic,123.14
60016,Vasconia,ANIMAS06A,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,89.43268072,11.85249052,66,11.37409599,26,Dic,129.57
60016,Vasconia,ANIMAS06A,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,89.43268072,11.85249052,66,11.37409599,26,Dic,129.39
53151,Montelimar,SAN IGN01,MANUAL,NA5642,Si,GLIFOSATO ALEMAN,87.53190883,13.023822,58,11.43984221,40,Dic,135.41
60016,Vasconia,ANIMAS06A,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,89.43268072,11.85249052,66,11.37409599,26,Dic,129.78
60016,Vasconia,ANIMAS06A,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,89.43268072,11.85249052,66,11.37409599,26,Dic,132.39
60016,Vasconia,ANIMAS06A,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,89.43268072,11.85249052,67,11.4069691,27,Dic,132.41
50157,Montelimar02,V05,MECANIZADA,NA5642,Si,TRINEXAPAC ,111.4907273,11.66016252,59,11.47271532,27,Dic,125.53
60016,Vasconia,ANIMAS06A,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,89.43268072,11.85249052,67,11.4069691,27,Dic,137.13
50157,Montelimar02,V05,MECANIZADA,NA5642,Si,TRINEXAPAC ,111.4907273,11.66016252,59,11.47271532,27,Dic,118.49
