VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,KgN Ha,Edad Corte,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CP89-2143 ,3.00, 2.20 , Franco , Goteo ,0.24,150.08,10.88,115.85,112.00,108.54
 CP72-2086 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,0.42,206.15,10.91,96.20,85.00,102.75
 CP00-1101 ,6.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.46,150.09,11.54,109.75,122.00,116.12
 CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.39,113.49,12.72,72.01,110.00,62.34
 NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.30,132.54,11.37,91.55,114.00,83.51
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.27,139.85,11.51,115.92,125.00,98.51
 CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.31,129.53,11.47,127.33,100.00,96.47
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.52,138.08,8.55,77.04,80.00,60.56
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.39,92.69,11.28,118.26,95.00,69.92
 CP00-1101 ,5.00, 2.20 , Franco Arcilloso , Goteo ,0.35,103.09,11.47,79.06,95.00,65.94
 CG02-163 ,2.00, 2.20 , Franco , Goteo ,0.13,102.94,11.21,70.86,91.00,71.56
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.39,115.01,8.55,67.65,80.00,76.56
 RB86-7515 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.14,102.90,11.37,99.24,90.00,60.56
 RB84-5210 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.06,96.61,11.41,80.54,85.00,60.58
 RB84-5210 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.24,119.44,11.41,93.49,90.00,62.91
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.49,107.32,7.50,70.02,80.00,72.54
 RB86-7515 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.20,103.06,11.41,104.03,110.00,61.37
 RB86-7515 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.36,103.07,11.41,101.99,114.00,57.68
 CP72-2086 ,5.00, 1.80 , Franco Arcillo Arenoso , Goteo ,0.27,142.16,11.80,103.73,112.00,94.59
 CP72-2086 ,5.00, 2.20 , Arcilloso , Goteo ,0.32,112.35,12.75,103.70,105.00,100.10
 CP72-2086 ,4.00, 2.20 , Arcilloso , Goteo ,0.28,132.13,12.50,122.42,120.00,114.94
 CP89-2143 ,5.00, 1.90 , Franco Arenoso , Goteo ,0.38,172.48,12.23,106.34,130.00,125.85
 CP72-2086 ,5.00, 1.90 , Franco Arcilloso , Goteo ,0.32,145.51,12.20,132.36,115.00,105.80
 NA56-42 ,2.00, 1.60 , Arcilloso , Mini Aspersion ,0.43,83.63,11.80,78.83,50.00,45.40
 CP88-1165 ,5.00, 2.20 , Arcilloso , Goteo ,0.35,95.14,10.75,84.50,90.00,64.02
 CP72-2086 ,5.00, 2.20 , Franco , Goteo ,0.55,79.03,10.65,87.92,80.00,78.36
 CP88-1165 ,5.00, 2.20 , Franco , Goteo ,0.41,99.06,10.85,130.84,100.00,77.90
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,0.42,113.63,10.85,93.92,105.00,87.84
 CP72-2086 ,4.00, 2.20 , Arcilloso , Goteo ,0.33,94.29,12.29,106.64,95.00,92.63
 CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.21,129.18,10.98,76.62,98.00,89.35
 CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.33,130.07,10.95,80.51,105.00,82.21
 CP72-2086 ,6.00, 1.50 , Franco , Gravedad ,0.52,124.24,10.36,89.26,110.00,89.92
 CP72-2086 ,6.00, 1.50 , Franco Arenoso , Gravedad ,0.41,125.06,11.28,137.20,115.00,97.31
 CP72-2086 ,5.00, 1.50 , Franco Arenoso , Gravedad ,0.34,156.80,11.24,114.69,100.00,173.45
 NA56-42 ,10.00, 1.50 , Franco , Gravedad ,0.59,122.38,11.31,136.48,117.00,114.89
 CG02-163 ,1.00, 1.65 , Franco , Gravedad ,0.17,124.33,11.31,110.68,100.00,98.35
 CP72-2086 ,6.00, 1.50 , Franco , Gravedad ,0.40,121.53,11.31,91.72,110.00,109.76
 CP72-2086 ,5.00, 1.50 , Franco , Gravedad ,0.53,127.42,11.34,124.95,100.00,99.05
 CP72-2086 ,5.00, 1.50 , Franco , Gravedad ,0.51,127.93,11.31,185.10,113.00,116.75
 CP72-2086 ,6.00, 1.50 , Franco Arcilloso , Gravedad ,0.40,117.24,11.31,118.06,90.00,85.71
 CP72-2086 ,5.00, 1.50 , Franco , Gravedad ,0.57,125.44,11.28,77.66,75.00,103.45
 CP72-2086 ,5.00, 1.50 , Franco Arcilloso , Gravedad ,0.33,125.44,11.31,80.78,90.00,101.10
 CG02-163 ,1.00, 1.65 , Franco , Gravedad ,0.25,97.15,11.51,121.03,120.00,135.87
 RB84-5210 ,1.00, 1.65 , Franco Arenoso , Gravedad ,0.08,124.61,11.57,109.58,117.00,114.81
 RB84-5210 ,1.00, 1.65 , Franco Arenoso , Gravedad ,0.08,125.57,11.28,154.41,117.00,108.48
 CG04-10295 ,1.00, 1.65 , Franco Arenoso , Gravedad ,0.06,125.79,11.54,171.44,130.00,120.81
 CP72-2086 ,6.00, 1.50 , Franco Arenoso , Gravedad ,0.68,120.54,11.51,105.63,105.00,68.47
 CP72-2086 ,5.00, 1.50 , Franco , Gravedad ,0.66,126.28,11.54,112.92,95.00,121.01
 CP72-2086 ,6.00, 1.50 , Franco , Gravedad ,0.52,125.07,11.28,97.43,115.00,114.53
 CG02-163 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,0.03,124.02,11.67,86.09,80.00,75.95
 CP72-2086 ,4.00, 1.50 , Franco Arcilloso , Gravedad ,0.23,123.79,11.44,80.29,110.00,88.57
 CP72-2086 ,5.00, 1.50 , Franco Arcilloso , Gravedad ,0.34,124.92,11.44,67.16,85.00,75.84
 CG98-78 ,3.00, 1.50 , Franco Arcilloso , Gravedad ,0.23,126.04,11.41,62.75,75.00,86.40
 RB86-7515 ,2.00, 1.50 , Franco Arcilloso , Gravedad ,0.26,119.87,11.14,73.08,80.00,56.43
 CP72-2086 ,4.00, 1.50 , Franco Arcilloso , Gravedad ,0.32,125.44,11.44,77.38,80.00,51.80
 CP72-2086 ,4.00, 1.50 , Franco , Gravedad ,0.32,122.64,11.47,85.13,75.00,85.02
 CG98-78 ,3.00, 1.50 , Franco , Gravedad ,0.24,125.60,11.01,88.88,85.00,88.74
 RB86-7515 ,1.00, 1.65 , Franco , Gravedad ,0.27,126.04,11.37,116.05,115.00,100.71
 CP72-2086 ,6.00, 1.50 , Franco , Gravedad ,0.54,120.79,11.41,101.89,97.00,93.59
 RB86-7515 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,0.30,125.17,11.24,88.90,108.00,94.85
 CP72-2086 ,3.00, 1.50 , Franco Arcilloso , Gravedad ,0.03,124.87,11.44,94.19,110.00,98.98
 CP72-2086 ,4.00, 1.50 , Franco Arcilloso , Gravedad ,0.23,126.28,11.37,53.13,75.00,86.24
 CP72-2086 ,7.00, 1.50 , Franco , Gravedad ,0.24,124.12,11.37,141.37,93.00,90.96
 CP72-2086 ,7.00, 1.50 , Franco , Gravedad ,0.36,118.75,11.37,122.03,100.00,107.65
 CG04-10295 ,2.00, 1.50 , Franco , Gravedad ,0.06,125.30,11.28,67.23,105.00,133.30
 CP73-1547 ,2.00, 1.50 , Franco , Gravedad ,0.04,125.34,11.28,61.95,109.75,47.37
 CG04-10295 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,0.14,124.68,11.34,98.81,98.00,88.22
 CP73-1547 ,0.00, 1.50 , Franco Arcilloso , Gravedad ,0.22,124.82,10.72,69.13,103.00,71.52
 CP73-1547 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,0.13,124.86,11.34,97.32,115.00,83.40
 CG02-163 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,0.03,124.12,11.41,116.35,96.00,87.21
 CP73-1547 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,0.17,127.54,11.41,110.64,125.00,112.34
 CP73-1547 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,0.13,122.72,11.37,112.42,120.00,100.10
 CP73-1547 ,1.00, 1.65 , Franco , Gravedad ,0.09,125.44,11.51,91.51,120.00,85.76
 CP73-1547 ,1.00, 1.65 , Franco , Gravedad ,0.34,126.43,11.41,81.96,110.00,94.79
 CP73-1547 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,0.05,125.39,11.41,109.73,115.00,63.47
 NA56-42 ,3.00,2.2,Franco Arcilloso,Goteo,0.43,150.96,11.24,119.87,135.00,84.83
 CP72-2086 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,0.45,150.07,11.21,150.28,135.00,94.24
 OTRAS ,3.00,2.2,Franco,Goteo,0.38,150.08,11.21,118.17,115.00,66.34
 CG98-78 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,0.46,150.05,11.37,118.95,130.00,91.78
 CP04-2115 ,2.00,2.2,Franco Arcilloso,Goteo,0.52,150.06,12.10,131.96,110.00,76.17
 CP72-2086 ,8.00,2.4,Franco Arcilloso,Goteo,0.50,112.75,12.13,103.34,125.00,109.42
 CP72-2086 ,5.00,1.9,Franco Arcillo Arenoso,Goteo,0.43,128.79,12.10,113.34,140.00,98.07
 CP72-2086 ,2.00,2.2,Franco Arenoso,Goteo,0.38,172.57,12.13,142.07,140.00,118.03
 RB86-7515 ,4.00,2.2,Franco Arcilloso,Goteo,0.48,162.10,12.10,144.90,143.30,134.91
 CP72-2086 ,2.00,2.2,Franco Arcilloso,Goteo,0.27,150.10,11.37,135.65,145.00,139.45
 CP89-2143 ,2.00,2.2,Arcilloso,Goteo,0.51,118.94,11.28,92.66,100.00,84.78
 OTRAS ,3.00,2.2,Arcilloso,Goteo,0.28,150.06,11.41,110.42,131.00,92.51
 OTRAS ,3.00,2.2,Arcilloso,Goteo,0.32,111.11,11.08,87.21,85.00,69.50
 CP72-2086 ,2.00,2.2,Arcilloso,Goteo,0.08,159.73,11.18,111.80,135.00,97.33
 CP89-2143 ,2.00,2.2,Arcilloso,Goteo,0.50,124.62,11.31,104.07,130.00,99.60
 OTRAS ,3.00,2.2,Franco Arcilloso,Goteo,0.53,106.55,11.14,97.49,106.00,80.77
 CP88-1165 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,0.21,103.04,11.14,113.95,105.00,91.58
 CP72-2086 ,3.00,2.2,Arcilloso,Goteo,0.60,113.40,11.14,76.26,75.00,72.51
 CG98-78 ,2.00,1.9,Franco,Goteo,0.42,141.25,12.03,106.71,113.00,92.96
 CP89-2143 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,0.27,134.78,14.50,99.95,125.00,108.49
 CP00-1101 ,2.00,2.2,Franco Arcilloso,Goteo,0.17,154.87,12.62,91.40,116.00,103.49
 CP72-2086 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,0.28,150.10,11.01,129.69,140.00,125.34
 OTRAS ,2.00,2.2,Franco Arcilloso,Goteo,0.27,112.30,11.31,101.55,95.00,82.60
 CP00-1101 ,2.00,2.2,Franco Arcilloso,Goteo,0.45,155.21,12.62,90.83,110.00,99.89
 CP72-2086 ,2.00,2.2,Franco,Goteo,0.36,172.53,11.31,138.01,125.00,125.41
 OTRAS ,2.00,2.2,Franco,Goteo,0.82,132.33,12.43,105.05,100.00,119.59
 CP88-1165 ,7.00,2.6,Franco Arcillo Arenoso,Goteo,0.29,143.54,12.59,92.65,125.00,120.18
 CG04-10295 ,1.00,1.9,Franco Arcillo Arenoso,Goteo,0.62,145.32,12.03,116.94,130.00,124.12
 CP72-2086 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,0.29,150.65,12.98,117.54,130.00,133.86
 CP72-2086 ,2.00,2.2,Franco Arcilloso,Goteo,0.33,152.27,13.58,113.34,110.00,135.20
 NA56-42 ,1.00,2.2,Franco Arcilloso,Goteo,0.79,150.91,14.40,104.90,100.00,101.29
 CP72-2086 ,4.00,1.9,Arcilloso,Goteo,0.70,140.28,12.66,116.76,120.00,62.62
 NA56-42 ,3.00,2.2,Franco Arcilloso,Goteo,0.41,146.85,13.38,106.14,129.00,103.74
 CP08-2256 ,4.00,1.4,Franco Arenoso,Gravedad,0.13,112.28,12.56,129.72,123.00,115.04
 CP89-2143 ,3.00,1.5,Franco Arenoso,Gravedad,0.11,125.04,12.66,96.23,128.00,100.43
 CP72-2086 ,3.00,1.5,Franco Arcilloso,Gravedad,0.22,126.29,11.44,111.86,110.00,106.69
 CP72-2086 ,2.00,1.5,Franco Arcillo Arenoso,Gravedad,0.28,122.63,12.33,78.07,160.00,118.65
 CP89-2143 ,2.00,1.5,Franco Arcilloso,Gravedad,0.31,124.04,12.46,85.71,118.00,75.84
 OTRAS ,3.00,1,Franco Arcilloso,Gravedad,0.16,134.91,12.69,90.70,115.00,96.43
 NA56-42 ,6.00,1.75,Franco Arenoso,Gravedad,0.27,124.47,11.54,98.65,115.00,86.41
 NA56-42 ,9.00,2.6,Arcilloso,Goteo,0.59,128.69,12.33,81.69,110.00,109.68
 NA56-42 ,3.00,2.2,Franco Arcilloso,Goteo,0.39,117.99,11.14,82.58,100.00,77.22
 NA56-42 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,0.45,103.04,12.33,59.58,85.00,70.53
 CP72-2086 ,6.00,1.9,Franco Arcilloso,Goteo,0.57,117.68,12.33,107.16,105.00,90.60
 CG98-78 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,0.20,112.47,11.51,121.87,130.00,102.20
 NA56-42 ,6.00,1.9,Franco Arcillo Arenoso,Goteo,0.47,150.10,12.20,130.30,130.00,114.45
 NA56-42 ,2.00,2.2,Franco Arcillo Arenoso,Goteo,0.41,150.19,12.69,77.88,115.00,110.98
 CP73-1547 ,12.00,1.4,Franco Arcillo Arenoso,Gravedad,0.27,103.27,11.47,108.13,118.00,72.99
 CP72-2086 ,7.00,1.5,Franco Arcilloso,Goteo,0.49,132.46,11.70,163.46,118.00,105.09
 CP72-2086 ,5.00,1.9,Franco Arcillo Arenoso,Goteo,0.36,122.04,11.64,171.49,110.00,98.20
 NA56-42 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,0.41,150.27,12.20,127.09,135.00,125.59
 NA56-42 ,5.00,1.9,Franco Arcillo Arenoso,Goteo,0.21,142.53,12.13,125.05,125.00,110.58
 CP00-1101 ,5.00,2.2,Franco Arcilloso,Goteo,0.42,155.69,12.10,108.24,126.00,121.50
 NA56-42 ,4.00,2.2,Arcilloso,Goteo,0.27,147.27,11.14,109.41,126.00,88.02
 CP72-2086 ,3.00,2.2,Franco Arcillo Arenoso,Goteo,0.35,157.20,12.82,91.53,126.00,121.60
 NA56-42 ,6.00,1.9,Arcilloso,Goteo,0.37,125.12,11.24,107.39,105.00,83.71
 NA56-42 ,8.00,2.4,Franco Arcilloso,Goteo,0.31,150.10,12.10,109.40,133.00,96.76
 NA56-42 ,1.00,1.65,Franco Arenoso,Gravedad,0.41,144.55,12.00,120.20,125.00,99.30
 CP89-2143 ,2.00,2.2,Franco Arenoso,Goteo,0.14,156.65,11.05,98.95,115.00,86.83
 NA56-42 ,8.00,2.2,Franco Arcillo Arenoso,Goteo,0.39,132.33,12.33,101.42,120.00,107.75
 CP72-2086 ,3.00,1.5,Franco Arenoso,Gravedad,0.15,139.62,13.84,119.49,120.00,142.47
 CP72-2086 ,3.00,2.2,Franco Arenoso,Goteo,0.49,118.17,12.85,104.21,95.00,121.81
 CP00-1630 ,2.00,2.2,Franco Arenoso,Goteo,0.22,124.25,13.87,51.91,80.00,84.38
 CP72-2086 ,2.00,2.2,Franco Arenoso,Goteo,0.29,149.33,13.91,105.03,108.00,108.11
 CP72-2086 ,6.00,1.9,Franco Arenoso,Goteo,0.64,136.36,13.91,97.67,100.00,75.92
 CP72-2086 ,3.00,2.2,Franco Arenoso,Goteo,0.56,173.88,12.92,96.36,110.00,98.70
 CP72-2086 ,2.00,2.2,Franco Arenoso,Goteo,0.33,161.31,13.02,106.57,110.00,98.11
 CP88-1165 ,3.00,2.2,Franco Arenoso,Goteo,0.39,119.13,11.47,68.45,82.00,82.84
 CP89-2143 ,2.00,2.2,Franco Arenoso,Goteo,0.32,134.39,12.92,113.42,90.00,79.96
 NA56-42 ,5.00,2.4,Franco Arenoso,Goteo,0.61,118.94,12.95,75.89,90.00,90.93
 CP72-2086 ,5.00,1.9,Franco Arenoso,Goteo,0.55,162.11,12.98,100.84,108.00,101.78
 CP08-2256 ,3.00,2.2,Franco Arenoso,Goteo,0.23,127.76,12.98,89.30,108.00,96.07
 CP72-2086 ,3.00,2.2,Franco Arenoso,Goteo,0.28,125.86,12.20,94.38,100.00,101.93
 NA56-42 ,3.00,2.2,Franco Arenoso,Goteo,0.49,118.50,12.20,94.52,96.00,103.59
 NA56-42 ,3.00,2.2,Franco Arenoso,Goteo,0.15,147.56,12.85,117.83,126.00,113.54
 OTRAS ,5.00,1.7,Franco Arcilloso,Goteo,0.43,108.94,11.97,150.99,108.00,96.44
 CP72-2086 ,6.00,1.7,Franco Arcilloso,Goteo,0.51,142.42,11.87,122.64,118.00,91.19
