VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,KgN Ha,Edad Corte,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CG98-78 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.46,150.05,11.28,90.37,108.00,98.16
 CP04-2115 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.37,150.06,11.08,84.49,85.00,86.49
 CP72-2086 ,9.00, 2.40 , Franco Arcilloso , Goteo ,0.45,112.75,11.08,92.22,115.00,108.83
 CP72-2086 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,0.37,128.79,11.14,114.35,115.00,105.05
 CP72-2086 ,3.00, 2.20 , Franco Arenoso , Goteo ,0.46,172.57,11.08,123.83,120.00,117.88
 RB86-7515 ,5.00, 2.20 , Franco Arcilloso , Goteo ,0.51,162.10,11.11,103.11,120.00,120.66
 RB86-7515 ,1.00, 1.75 , Franco Arcilloso , Mini Aspersion ,0.24,108.57,10.52,94.74,98.00,88.44
 CP72-2086 ,3.00, 1.50 , Franco Arcilloso , Mini Aspersion ,0.40,73.19,10.88,105.78,92.00,89.77
 CP72-2086 ,8.00, 1.50 , Arcilloso , Mini Aspersion ,0.37,73.17,10.88,97.54,92.00,67.77
 CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.24,150.10,10.78,136.49,140.00,127.40
 CP89-2143 ,3.00, 2.20 , Arcilloso , Goteo ,0.38,118.94,11.14,88.86,102.00,90.69
 Otras ,4.00, 2.20 , Arcilloso , Goteo ,0.35,150.06,11.01,115.79,102.00,79.47
 CP89-2143 ,3.00, 2.20 , Arcilloso , Goteo ,0.40,123.38,11.11,69.55,70.00,60.40
 CP72-2086 ,3.00, 2.20 , Arcilloso , Goteo ,0.34,159.73,11.08,101.31,105.00,98.89
 CP89-2143 ,3.00, 2.20 , Arcilloso , Goteo ,0.34,124.62,11.24,86.72,92.50,69.53
 CP88-1165 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.41,103.04,11.21,82.98,80.00,70.35
 CG98-78 ,3.00, 1.90 , Franco , Goteo ,0.43,141.25,11.70,109.83,82.00,87.08
 CP89-2143 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.31,134.78,10.19,90.61,118.00,87.70
 RB86-7515 ,1.00, 2.20 , Franco Arenoso , Goteo ,0.43,158.76,10.16,115.07,120.00,102.46
 CP72-2086 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.39,150.06,11.05,129.66,125.00,78.30
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.34,103.06,10.49,91.52,125.00,80.50
 RB86-7515 ,1.00, 2.20 , Franco , Goteo ,0.51,138.08,11.01,124.76,117.50,79.37
