"CODLOTE","FINCA","CAMPO","TIPOCORTE","VARIEDAD","MADURANTE","TIPOMAD","TCHREAL","ccMAD","DIASMAD","EDAD","DIASSUP","MESCORTE","CORE"
"51088","Loma Alegre","F04A","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","138.47338003503","10.832406919081","54.00","11.176857330703","14","Ene","130.850"
"51038","Loma Alegre","F04","MECANIZADA","RB867515","Si","GLIFOSATO ALEMAN","107.1334965035","14.001223230412","54.00","11.176857330703","13","Ene","123.810"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","52.00","11.63708086785","18","Ene","139.740"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","52.00","11.63708086785","18","Ene","146.670"
"51088","Loma Alegre","F04A","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","138.47338003503","10.832406919081","54.00","11.176857330703","14","Ene","128.350"
"51088","Loma Alegre","F04A","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","138.47338003503","10.832406919081","54.00","11.176857330703","14","Ene","134.380"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","52.00","11.63708086785","18","Ene","145.460"
"16730","Sucuya","16730","MECANIZADA","CP731547","Si","GLIFOSATO ALEMAN","65.621","16.915316743116","73.00","12.32741617357","39","Ene","131.980"
"51088","Loma Alegre","F04A","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","138.47338003503","10.832406919081","54.00","11.176857330703","14","Ene","126.950"
"51034","Loma Alegre","B24","MECANIZADA","RB867515","Si","GLIFOSATO ALEMAN","95.6045","13.597686301377","53.00","11.176857330703","11","Ene","117.200"
"51088","Loma Alegre","F04A","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","138.47338003503","10.832406919081","54.00","11.176857330703","14","Ene","127.620"
"51034","Loma Alegre","B24","MECANIZADA","RB867515","Si","GLIFOSATO ALEMAN","95.6045","13.597686301377","53.00","11.176857330703","11","Ene","135.620"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","52.00","11.63708086785","18","Ene","139.470"
"73016","San Pedro","SP0301","MECANIZADA","CP722086","Si","GLIFOSATO ALEMAN","85.649122807018","14.010651372388","52.00","11.63708086785","18","Ene","131.150"
